Schiffname,URL,Baujahr,Bauwerft,Verdrängung leer,Maschine,Antrieb,KW / PS,Länge,Breite,Besatzung,Personenkapazität,Maximale Wellenhöhe (m),Wellenlänge (m),Wellenperiode (s),Wellengeschwindigkeit (m/s),Wellenenergie (J/m²),Wellenleistung (W/m),Aufprallkraft (N/m²),Froude-Längenzahl,Froude-Tiefenzahl,Kelvin-Winkel (Grad),Wellenbewertung
Motorschiff Panta Rhei,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-panta-rhei,2007,ÖSWAG,382 Tonnen,MAN,2 Schrauben,2x442 / 2x600,56.6 Meter,10.7 Meter,3 Personen,700,0.63,16.0,3.2,5.0,488,2439,77347,0.212,0.505,19.5,3
Dampfschiff Stadt Rapperswil,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ds-stadt-rapperswil,1914,Escher Wyss,258 Tonnen,Escher Wyss,2 Schaufelräder,368 / 500,59.1 Meter,13.5 Meter,6 Personen,750,0.32,16.0,3.2,5.0,128,641,39653,0.208,0.505,19.5,1
Motorschiff Helvetia,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-helvetia,1964,Bodan,302 Tonnen,CAT,1 Schraube,746 / 1015,56 Meter,12.3 Meter,4 Personen,1'000,0.44,16.0,3.2,5.0,236,1179,53764,0.213,0.505,19.5,2
Motorschiff Linth,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-linth,1952,Bodan,276 Tonnen,Caterpillar,2 Schrauben,2x448 / 2x610,54 Meter,11.6 Meter,4 Personen,850,0.44,16.0,3.2,5.0,238,1190,54030,0.217,0.505,19.5,2
Motorschiff Limmat,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-limmat,1958,Bodan,223 Tonnen,CAT,1 Schraube,634 / 862,51 Meter,10.9 Meter,3 Personen,700,0.40,16.0,3.2,5.0,197,987,49191,0.224,0.505,19.5,2
Motorschiff Säntis,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-saentis,1957,Bodan,113.5 Tonnen,MAN,1 Schraube,442 / 600,42.5 Meter,7.5 Meter,2 Personen,300,0.36,16.0,3.2,5.0,155,777,43664,0.245,0.505,19.5,2
"Motorschiffe Albis, Pfannenstiel & Uetliberg",https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-albis,1997 / 1998 / 1999,Bodan,149 Tonnen,MAN,2 Schottelpropeller,2x250 / 2x340,42.4 Meter,7.3 Meter,2 Personen,300,0.48,16.0,3.2,5.0,284,1421,59031,0.245,0.505,19.5,3
Motorschiff Bachtel,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-bachtel,1962,Bodan,64 Tonnen,MAN,1 Schraube,279 / 380,33.3 Meter,6.3 Meter,2 Personen,250,0.31,16.0,3.2,5.0,114,571,37409,0.277,0.505,19.5,1
Dampfschiff Stadt Zürich,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ds-stadt-zuerich,1909,Escher Wyss,260 Tonnen,Escher Wyss,2 Schaufelräder,368 / 500,59.1 Meter,13.5 Meter,6 Personen,750,0.33,16.0,3.2,5.0,130,651,39961,0.208,0.505,19.5,1
Motorschiff Wädenswil,https://www.zsg.ch/de/gruppen-firmen/eventlocation-mieten/schiff-mieten/ms-waedenswil,1968,Bodan,177 Tonnen,Caterpillar,1 Schraube,559 / 760,48.2 Meter,9.6 Meter,3 Personen,600,0.38,16.0,3.2,5.0,179,897,46907,0.230,0.505,19.5,2
